Client ID,Location ID,Joined Bank,Banking Employee ID,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,IAId
IND86703,11172,16-02-2018,BE36,71422.04,32993.52,1,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2,2,1,9
IND23640,18659,2/4/2018,BE28,39077.38,14707.68,2,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0,2,1,10
IND93407,18123,16-04-2010,BE25,274099.12,26051.76,2,2461.94,563101.95,0,0,0,4870.24,520918.49,3,2,2,11
IND40136,27140,25-09-2019,BE18,260826.75,53468.1,3,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0,3,2,12
IND76215,18521,7/1/1999,BE37,334331.81,18591.75,2,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1,3,3,13
IND93216,40585,11/2/2012,BE38,61398.26,20668.94,1,550.75,360003.87,277273.4,305000.74,109324.94,2850.73,118884.97,2,1,3,14
IND54572,4749,11/4/2007,BE31,63246.3,18575.7,1,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0,1,3,15
IND18649,7639,24-03-2019,BE20,158091.86,33824.44,3,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0,2,3,1
IND51790,6517,10/9/2016,BE27,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.56,166059.8,41209.82,506592.1,2,2,3,2
IND17740,38743,18-06-2011,BE17,116926.94,18431.28,2,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1,2,3,3
IND49489,4567,9/8/1995,BE29,148224.72,27518,2,27.81,302048.92,73076.62,28675.63,52337.66,17272.56,456098.92,3,1,3,4
IND50658,36151,24-08-2021,BE39,348248.56,65026,1,3435.36,1369215.65,450525.37,124963.24,169226.54,6690.97,2698297.83,0,3,4,5
IND14798,21413,24-09-2014,BE14,19637.78,9527.23,2,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0,1,4,6
IND60926,7197,13-12-1995,BE31,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,2,1,7
IND57710,27256,5/11/2003,BE15,52109.13,14277.05,1,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1,1,2,8
IND71795,21290,23-08-2007,BE40,156091.75,20609.04,3,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2,1,3,9
IND98220,3957,24-01-2020,BE08,338383.13,57267.05,1,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1,4,4,10
IND91662,39668,21-02-2019,BE33,198553.59,20851.74,1,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3,4,1,11
IND18901,374,5/11/2002,BE36,190119.93,47110.05,1,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1,2,1,12
IND49888,31302,26-01-2003,BE12,147956.79,52216.52,1,2977.86,701005.58,720211.85,302231.76,279467.92,23058.96,1504310.04,3,2,1,13
IND76081,23190,2/1/2010,BE29,91071.75,33111.54,1,8062.65,677123.94,558283.3,298923.34,147703.3,7880.76,1554534.94,0,2,2,14
IND93705,18488,28-10-2020,BE41,96545.37,23191.74,1,3386.45,1104753.03,1268890.97,630243.86,252097.54,39556.05,1941061.87,3,2,2,15
IND52847,8566,19-06-2015,BE35,63765,11354,1,2644.75,1012372.67,1568405.32,541210.29,478805.43,62053.29,1665045.85,3,2,3,16
IND24592,10123,18-09-2007,BE25,191715.4,31923.72,1,1296.45,402401.84,269460.7,316098.13,121257.32,19337.29,673780.44,0,2,3,17
IND31656,633,28-01-2012,BE38,218312.27,21480.88,2,5886.56,1757312.99,1099352.83,389770.55,402363.14,30773.91,735797.5,1,5,3,18
IND85060,8325,15-02-2006,BE39,157167.47,31498.25,1,1909.3,597244.53,262988.54,128881.8,51169.56,42714.8,836453.63,3,1,3,19
IND89139,23184,9/7/2014,BE11,101929.59,13019.3,1,1163.81,614181.3,445914.24,137911.62,373280.79,12590.02,516128.95,3,1,3,20
IND81423,24727,1/3/2009,BE28,40985.49,19729.5,3,646.13,358194.38,186144.38,114664.94,37333.12,13412.63,222160.88,1,1,3,21
IND85541,9136,12/9/2018,BE27,109218.7,6820.8,1,2767.3,587928.77,198995.43,128873.23,68530.24,13413.79,566786.3,2,1,3,22
IND59219,10186,30-10-2014,BE36,174258.52,34182.52,1,5185.78,648432.67,1125389.67,830895.18,198783.78,36318.33,452950.77,3,3,4,1
IND43444,33070,14-11-2018,BE21,74059.23,14702.6,2,1361.56,374815.99,384271.05,216865.84,124336.41,8446.4,962931.99,2,1,4,2
IND85299,2874,22-07-2019,BE21,158874.14,38794.28,1,2366.28,261364.76,127418.48,101648.45,46915.77,40839.46,334072.22,0,2,1,3
IND58136,18759,10/1/2020,BE42,71958.9,13998.9,1,2756.83,124510.61,199185.62,120782.77,81093.97,15957.53,639874.92,1,1,2,4
IND35725,29867,2/11/2012,BE33,189074.19,13258.42,1,4138.78,291504.55,247346.43,81405.16,162184.12,11482.62,358381.36,3,3,3,8
IND15648,12708,6/1/2005,BE10,74408.69,28689.62,2,494.76,24949.1,188138.63,218375.19,61145.05,12141.52,326434.35,2,1,4,9
IND48116,2134,6/6/2019,BE02,447928.06,42888.81,1,3074.93,841124.62,611852.17,222491.7,457697.21,33497.73,347546.25,3,5,1,10
IND28531,449,20-08-2001,BE26,309939.21,51303.6,2,10999.17,1198037.84,1457194.61,691706.3,145258.32,44952.26,3619311.37,3,4,1,11
IND45135,27123,22-02-2011,BE21,151227.36,25749.75,1,397.4,455965.07,212193.82,276609.8,79800.03,13699.11,796820.24,2,2,1,12
IND72586,31328,8/11/2016,BE24,401412.67,48428.15,2,3172.65,1511484.73,827446.85,498247.56,399309.83,51370.22,155806.11,3,5,2,13
IND80929,12694,20-10-2021,BE11,263452.26,17416.8,1,3107.16,0,687595.13,297957.89,507980,16429.39,980875.66,2,2,2,14
IND40714,40567,10/5/2004,BE43,404760.25,41342.34,2,4733.35,1022752.85,425498.09,212749.04,145323.96,64179.71,477400.93,0,3,3,15
IND48405,5800,19-12-2004,BE27,122608.89,31945.22,1,226.91,248995.76,167320.36,182304.28,54616.36,24666.31,166961.63,2,2,3,1
IND52634,25890,10/12/2008,BE06,72688.95,5604.02,1,2577.26,44247.13,47024.48,16596.87,24784.67,24564.97,362233.8,1,1,3,2
IND18163,31222,18-05-2020,BE17,96295.61,23986.83,1,1323.88,311472.63,193153.03,136197.65,60174.6,21291.85,396610.18,2,2,3,3
IND94008,32556,14-12-1996,BE39,127182.69,10617.09,3,3142.39,92065.37,781027.69,183771.22,567065.49,24086.65,613018.84,2,1,3,4
IND53034,28065,19-05-1996,BE44,86309.17,19088.42,1,954.95,184129.95,136811.36,39799.67,71888.15,11832.68,506381.3,2,1,3,5
IND91806,18610,4/4/2021,BE04,39039.16,35780.3,1,1286.88,429795.64,217684.78,110466.9,253034.18,13282.16,83301.84,2,2,3,6
IND25702,15463,6/12/2015,BE22,302021.94,5907.2,3,825.52,1259346.41,462110.27,75017.9,137282.76,23172.43,2366879.7,1,2,4,7
IND67912,29994,21-08-2003,BE01,274381.44,26955.98,1,4251.72,665570.32,1124343.31,488444.23,424485.68,47412.87,1827431.05,2,2,4,8
IND76171,22631,17-06-1996,BE09,122710.9,20009.16,1,4783.55,763332.61,129332.34,48804.66,76867.33,14130.27,334266.15,2,2,1,9
IND34798,41743,14-02-2020,BE18,120617.67,15025.68,1,1932.43,575222.32,588831.44,455869.5,122324.98,16839.35,970188.11,2,1,2,10
IND93920,23157,11/11/2016,BE34,108847.47,7393.47,1,2935.23,129402.67,257681.31,177419.92,294010.15,18533.78,640916.4,3,2,3,11
IND18628,3323,29-01-2021,BE26,93309.6,22124.7,2,937.31,695931.26,858197.4,319474.94,168820.58,30101.04,935708.81,3,1,4,12
IND42134,37517,27-11-2006,BE41,131076.39,13731.44,1,6092.06,256672.86,325915.34,109714.07,159730.79,53942.1,1750716.49,2,3,1,13
IND92265,29835,21-04-2001,BE28,83441.32,2173.28,1,862.35,322636.11,198962.55,37398.97,133514.34,1917.33,432785.25,1,1,1,14
IND77317,14844,4/8/2021,BE17,359386.37,4756.08,1,2420.87,1546378.41,1190649.75,872458.87,163201.13,75357.4,168061.17,2,3,1,15
IND60176,41105,31-07-2011,BE30,113118.57,12160.5,2,1536.54,641964.66,1029868.13,340871.85,349792.54,6328.91,433718.35,3,1,2,16
IND51597,26593,10/7/2008,BE45,110102.32,12255.54,1,1513.51,37756.8,136175.35,151887.89,91289.86,5837.49,469924.54,1,2,2,17
IND33238,26406,7/8/2004,BE01,343198.66,27522.88,1,4049.93,140800.99,758995.41,582243.06,306509.38,11408.94,637394.98,0,3,3,18
IND18364,14468,4/6/2021,BE36,139310.32,37632.9,3,2109.05,252780.62,94179.54,113664.97,26792.46,10164.28,303349.11,2,2,3,19
IND92467,41694,30-01-2017,BE02,89269.83,18376.2,3,329.22,32037.08,199933.91,199933.91,152113.65,1727.52,154043.36,3,1,3,20
IND60476,37286,8/3/2011,BE16,75161.91,13911.24,2,2286.76,557461.27,25563.15,16645.77,11901.73,18131.52,491968.85,3,1,3,21
IND61025,11151,10/8/2000,BE13,124589.37,23297.54,1,468.2,124046.99,346256.75,400359.37,129413.46,22425.85,717391.36,0,2,3,22
IND55955,20600,14-04-1999,BE16,435632.17,37078.86,1,3008.92,424214.25,71187.94,76882.97,56978.82,10069.15,961426.38,0,4,3,1
IND75964,22925,10/9/2018,BE31,88221.82,12126.95,1,5284.59,918742.14,542037,348097.16,156643.72,15380.77,1451850.52,3,2,3,2
IND17939,18807,17-04-2001,BE03,48788.15,30341.94,1,872.32,1099020.48,1385972,511219.18,337404.66,53970.25,536373.73,1,2,4,3
IND49363,41568,23-08-2021,BE31,324199.84,27648.39,1,365.06,557907.89,507996.38,369451.91,74814.01,12758.36,359677.7,3,3,4,4
IND93355,15256,7/8/2003,BE30,282658.49,30651.24,1,10127.28,436116.47,989380.39,512232.4,227346.98,57308.34,588222.31,1,2,1,8
IND65845,8942,1/1/1999,BE44,274736.56,45424.8,2,641.87,702014.71,147575.13,105053.48,139270.9,30227.92,865724.13,0,2,2,9
IND26284,31544,7/6/2005,BE15,147339.86,27029.67,1,3638.15,245108.44,149314.45,121975.18,53879.38,4424.42,959192.19,0,2,3,10
IND24774,15098,1/11/2021,BE24,81683.44,23580.9,2,2171.31,418824.88,959454.45,644753.39,73686.1,37787.75,742030.19,1,1,4,11
IND12731,26908,4/1/2002,BE17,76005.3,40640.6,2,5570.9,495739.92,606032.72,399981.6,103025.56,30266.72,172313.94,0,2,1,12
IND93115,14612,15-12-2003,BE12,206026.56,3094.2,2,2470.82,818737.34,630729.9,411037.46,357177.38,23541.92,256471.12,3,2,1,13
IND85411,33602,29-10-1996,BE37,288440.81,5937.12,1,1909.77,397326.42,265216,168773.82,263367.53,15874,654569.82,2,2,1,14
IND58620,5929,23-09-2006,BE46,57825.32,47025.14,2,3151.39,627597.93,972403.54,395038.94,328186.19,73866.7,1634407.3,2,2,2,15
IND86466,30879,10/12/2002,BE24,412837.04,62194.6,1,7104.71,927808.29,1251565.58,441729.03,428967.97,104897.64,958339.06,0,5,2,1
IND67594,40787,3/11/2016,BE47,130272.52,20605.37,3,1928.39,230291.87,124809.29,82050.55,32508.2,34351.1,985553.24,0,1,3,2
IND34060,25142,22-12-1999,BE32,360800.21,18238.48,1,526.42,338782.79,34504.45,45616.05,8748.93,27404.41,520344.88,2,3,3,3
IND93556,5443,14-05-2015,BE32,35234.55,15378.9,3,3792.07,144620.71,441638.95,115353.46,257073.42,23225.95,387030.32,0,1,3,4
IND98512,34042,17-08-2011,BE26,95828.94,9459.79,2,1871.16,312519.52,267545.78,93925.65,236464.93,2184.53,824674.14,0,1,3,5
IND52571,37025,25-02-2003,BE28,146788.5,39834.5,1,2397.24,122986.19,640602.91,367870.98,223767.04,27457.36,1002791.63,3,2,3,6
IND37643,30085,13-10-2010,BE37,70386.82,49752.78,1,4733.41,1229595.68,325521.19,190930.7,86670.02,39190.01,1637999.56,3,2,3,7
IND54218,20483,23-07-2020,BE48,54632.7,6161.4,1,833.75,60365.86,90680.46,34781.55,76916.9,6030.41,412083.07,3,1,3,8
IND61793,40266,7/9/2020,BE21,390608.46,51660,2,6590.61,1303392.78,81313.25,54839.17,36534.23,35486.35,1703047.68,2,4,4,9
IND36608,5278,28-11-2016,BE01,209330.69,12650.79,1,2424.38,469557.5,185097.77,157333.1,105814.22,62.59,187166.54,2,2,4,10
IND48488,1920,19-07-2005,BE48,112683.73,5161.2,2,5247.15,832861.83,1070053.58,716470.66,173348.68,26418.79,1165504.97,1,2,1,11
IND67225,8973,21-12-2020,BE05,231396.28,40382.64,2,757.41,113522.57,569570.56,577946.6,251867.45,6840.2,1228111.17,1,2,2,12
IND82919,26692,28-06-2015,BE33,49986.85,19271.46,1,3557.99,181563.18,94786.29,28061.73,38070.41,14690.77,191065.76,2,1,3,13
IND77016,27671,13-03-2013,BE34,179434.37,4757.76,3,3449.09,391545.22,224823.63,284776.6,95325.22,9890.3,730708.22,0,2,4,14
IND75034,569,30-05-2011,BE23,111485.6,15780.76,2,1768.32,109518.69,386551.75,206941.85,190855.05,42470.6,810263.16,1,2,1,15
IND90860,43235,20-01-2000,BE14,131121.99,33075.99,1,4267.35,738628.08,628660.2,487211.65,352364.04,10644.07,968501.52,1,2,1,16
IND73867,17602,25-09-2019,BE35,224722.41,19388.05,2,690.58,1398446.98,378083.17,191631.2,69349.78,75949.35,1531982.67,1,2,1,17
IND27930,1542,26-06-1995,BE15,82651.24,9350.64,1,1039.59,172491.89,780674.58,223049.88,229271.8,2813.19,285502.46,2,1,2,18
IND35620,33139,30-08-2019,BE15,21090.76,4114.32,2,1386.56,149157.79,60794.5,27357.52,34044.92,19680.19,427414.18,2,1,2,19
IND91353,7074,21-06-2007,BE18,337249.36,19296.7,1,2617.08,484229.73,678377.59,196948.33,413153.83,52707.38,1545597.19,1,4,3,20
IND97689,39015,21-06-2018,BE39,107655.52,38404.02,1,1045.18,624915.32,405753.4,171664.9,428694.08,1194.27,655845.68,0,2,3,21
IND77331,35870,23-10-2005,BE49,224839.07,4873.51,2,3693.38,816590.42,469279.74,373833.02,446849.76,25010.46,490030.51,0,3,3,22
IND71401,35626,20-03-2015,BE31,84089.47,8018.4,1,1815.03,237269.07,28379.41,33734.01,20010.16,602.74,243516.78,2,1,3,1
IND66104,41002,8/9/2002,BE10,246327.38,28068,1,2661.56,878592.94,74747.86,46607.49,39677.92,48436.61,462837.75,0,3,3,2
IND36471,40756,4/1/2012,BE43,157380.5,4309.76,1,691.74,1017636.33,1236148.34,658677.58,170534.33,46020.33,1144712.1,2,2,3,3
IND81572,34514,21-06-2012,BE09,94278.19,19980.75,2,628.53,135261.87,908877.7,376851.73,797373.92,24220.55,1013471.42,2,3,3,4
IND94055,38941,29-11-2012,BE41,439472.87,36385.95,2,917.32,858150.92,329460.18,173400.1,312120.17,16741.09,535785.29,0,4,4,8
IND88778,785,25-01-2018,BE43,309468.8,24993.15,1,1974.36,801630.51,822290.12,590771.54,240779.32,60404.97,1488976.7,1,2,4,9
IND68221,2845,15-12-2001,BE49,384142.67,34698.56,1,4193.47,572900.89,270551.98,145681.83,197156.08,47953.37,193773.28,1,3,1,10
IND58681,27591,6/11/1995,BE21,107365.62,14408.16,3,2695.4,172396.97,137641.66,74358.14,75465.6,9218.44,402594.38,2,1,2,11
IND54970,42186,22-08-2018,BE27,128148.71,12681.24,1,1332.05,121833.56,34050.76,46031.58,14641.83,12705.66,383125.01,3,1,3,12
IND26450,11094,24-06-2003,BE38,208965.85,53907.62,1,5767.77,511241.45,557088.29,432689.93,67066.94,39350.76,227001.45,1,3,4,13
IND28733,9369,9/6/2017,BE36,50054.16,4521.9,3,389.45,276227.71,91304.24,39311.55,55999.93,11444.98,43473.89,2,1,1,14
IND91334,36619,3/10/2013,BE38,29125.26,28117.39,2,4248.3,723573.68,285173.39,151436.9,53376.59,24406.01,406859.75,2,1,1,15
IND61397,26887,28-04-2021,BE42,60970.29,18932.48,2,707.11,196012.67,502813.34,306060.29,120675.2,23474.77,293613.77,1,1,1,1
IND65691,32480,11/5/2004,BE08,133180.88,27623.46,1,4027.35,510992.7,691698.96,145620.83,359475.43,15138.47,670259.88,2,1,2,2
IND19666,29591,2/7/2019,BE10,71186.04,13756.86,2,4363.01,1267067.32,453483.46,241658.95,31743.84,73828.5,752241.86,2,3,2,3
IND76794,37248,18-04-2000,BE11,111956.47,24675.67,1,1971.89,556782.54,258024.28,246023.15,56705.34,17993.57,567031.76,1,1,3,4
IND77195,25436,17-09-2011,BE30,175192.75,50740.24,1,2620.99,777960.39,1118146.53,396433.77,657266.86,11312,1117329.49,3,2,3,5
IND36167,3002,3/9/2018,BE10,148469.07,43771.52,1,513.37,96667.9,253711.48,284331.83,107171.23,26628.77,716626.1,3,2,3,6
IND76489,13507,19-04-2002,BE27,288372.7,7674.8,1,4381.44,1369221,297694.66,64500.51,192757.29,63160.44,1068170.04,3,2,3,7
IND23438,19568,8/11/2008,BE15,266530.81,21990.3,1,447.05,467686.8,834515.64,219609.38,388708.6,9180.93,985045.41,2,2,3,8
IND82705,26899,6/9/2012,BE23,78054.21,18705,1,2462.62,443193.19,698949.39,143374.23,335137.27,38769.59,768206.09,0,1,3,9
IND67912,34075,27-04-2021,BE48,189555.93,22685.02,2,1723.34,457331.9,64132.44,28963.04,72986.86,41997.15,1220064.99,3,5,3,10
IND33202,41599,5/3/2019,BE25,58989.7,11962.08,1,1451.77,238669.58,840089.65,154753.36,266617.93,34111.49,0,0,1,4,11
IND19321,15899,14-04-2021,BE10,192727.18,19953.7,1,4306.71,703469.39,1110950.29,498986.15,243373.43,35074.14,1713942.8,3,2,4,12
IND81583,23770,20-01-2019,BE42,258577.76,37668.72,1,1672.26,372833.03,502106.34,222524.4,379375.57,40969.1,479087.54,1,2,1,13
IND46105,9970,26-05-2015,BE45,456100.04,57323.63,1,2551.95,348975.03,461512.76,363616.12,265160.06,28117.69,1345870.73,3,4,2,14
IND21098,8380,12/11/1996,BE41,238781.13,38376.42,1,4957.84,916634.56,1211730.47,976443,113996.78,12450.75,285914.61,2,2,3,15
